threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,youden_j,tp,tn,fp,fn
0.05,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.06,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.07,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.08,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.09,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.1,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.11,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.12,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.13,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.14,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.15,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.16,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.17,0.48484848484848486,0.45161290322580644,1.0,0.10526315789473684,0.6222222222222222,0.5526315789473684,0.10526315789473673,14,2,17,0
0.18,0.5151515151515151,0.4666666666666667,1.0,0.15789473684210525,0.6363636363636364,0.5789473684210527,0.1578947368421053,14,3,16,0
0.19,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.2,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.21,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
